shapeid,partid,x,y
"0","0",-8.67375555546812,41.2422071373135
"0","0",-8.67248835980897,41.2348679415788
"0","0",-8.67091831140238,41.233746931311
"0","0",-8.67315159910822,41.2321758040472
"0","0",-8.674184213837,41.2318400436669
"0","0",-8.67470189071694,41.231757648218
"0","0",-8.67453480981918,41.2311870568851
"0","0",-8.67593719374792,41.2302312537473
"0","0",-8.67639461194343,41.2299284425109
"0","0",-8.67664660280563,41.229817205378
"0","0",-8.67679724951672,41.2297780663417
"0","0",-8.67687394238783,41.2297718864918
"0","0",-8.67706567456558,41.2297801262916
"0","0",-8.67719166999668,41.2298007257866
"0","0",-8.67730397027223,41.229831625017
"0","0",-8.67747926826332,41.2299078430561
"0","0",-8.67787368874328,41.2300808782746
"0","0",-8.67850640492988,41.2303733891502
"0","0",-8.67868718098319,41.2304763856258
"0","0",-8.67883919720984,41.2306010111443
"0","0",-8.67897204021872,41.2307699246911
"0","0",-8.68117969929404,41.2341172067886
"0","0",-8.68135773631624,41.2343782875867
"0","0",-8.68143442918735,41.2344194836726
"0","0",-8.681574119774,41.2344421415088
"0","0",-8.6816754639251,41.2344380219028
"0","0",-8.68187541319619,41.2343988856329
"0","0",-8.68200962572062,41.2343288522493
"0","0",-8.6821054918095,41.2342505795554
"0","0",-8.68220957499171,41.2341517086501
"0","0",-8.68231913623614,41.2340198805438
"0","0",-8.68246156585391,41.2338962914527
"0","0",-8.68266973221833,41.2336655911908
"0","0",-8.68290802792497,41.2336017365102
"0","0",-8.68303676238718,41.2336182151434
"0","0",-8.68323123359605,41.2337006082473
"0","0",-8.68362291504489,41.2338633343223
"0","0",-8.68380369109821,41.2339333682046
"0","0",-8.68474043973811,41.2342114431733
"0","0",-8.68521155308918,41.2346357626977
"0","0",-8.68653176608459,41.2397088454223
"0","0",-8.6863564680935,41.2397067857853
"0","0",-8.68614830172908,41.2397006068739
"0","0",-8.68595383052021,41.2396470562841
"0","0",-8.6856470590358,41.2395255374751
"0","0",-8.68553201972914,41.2394884638952
"0","0",-8.68538685108027,41.2394822849631
"0","0",-8.68411320161373,41.2396583842971
"0","0",-8.68281216183609,41.2407458644084
"0","0",-8.68245608779168,41.2408529637436
"0","0",-8.68259303934722,41.2415202710323
"0","0",-8.68370782500933,41.2461768152385
"0","0",-8.68359004667156,41.2463765799463
"0","0",-8.683650305356,41.2464507192701
"0","0",-8.68369139082266,41.2465722252022
"0","0",-8.68364482729378,41.2466134136025
"0","0",-8.68424193607594,41.2495397829867
"0","0",-8.68439532181815,41.2507238853555
"0","0",-8.68451583918702,41.250816553331
"0","0",-8.68472400555145,41.2512592985111
"0","0",-8.68480343745366,41.2514425735447
"0","0",-8.68484726195143,41.2515908406114
"0","0",-8.68493628046253,41.2520274027983
"0","0",-8.68583605218244,41.2562868199045
"0","0",-8.68643042193349,41.258905960971
"0","0",-8.68650163674237,41.2604234498383
"0","0",-8.68669884698235,41.26052845794
"0","0",-8.68676732276012,41.260586109375
"0","0",-8.68672349826234,41.2607137659428
"0","0",-8.68656463445792,41.2608908375431
"0","0",-8.68660024186235,41.2610679086634
"0","0",-8.68670980310679,41.2610679086634
"0","0",-8.68718365548896,41.2612470382616
"0","0",-8.68735073638672,41.2612593920089
"0","0",-8.68752603437782,41.261323219666
"0","0",-8.68784376198667,41.2616855948592
"0","0",-8.68776980814668,41.2617411863302
"0","0",-8.68787936939111,41.2619944357663
"0","0",-8.68789306454667,41.262290921663
"0","0",-8.68791086824888,41.2624535765484
"0","0",-8.68802590755554,41.262898301762
"0","0",-8.68805329786665,41.2633594950808
"0","0",-8.68800947336888,41.2641006918052
"0","0",-8.68758218451559,41.264570112046
"0","0",-8.68785060956445,41.2655748247294
"0","0",-8.68779582894223,41.2667442249421
"0","0",-8.68716037372452,41.2670612770246
"0","0",-8.68711654922675,41.2671436279631
"0","0",-8.68616610543129,41.2672630366392
"0","0",-8.68559638696024,41.2668533404429
"0","0",-8.6851827932625,41.2665465813064
"0","0",-8.68491436821364,41.2663530546668
"0","0",-8.68418852496927,41.2659845289479
"0","0",-8.68351472331601,41.2656098246877
"0","0",-8.6834380304449,41.2655027659327
"0","0",-8.68345994269379,41.2650786468322
"0","0",-8.68342707432046,41.264897468901
"0","0",-8.68322438601826,41.2640471612125
"0","0",-8.68314495411605,41.2637712720774
"0","0",-8.68304634899605,41.2634294973534
"0","0",-8.68299430740495,41.2632174314146
"0","0",-8.68292857065829,41.2628694770714
"0","0",-8.68289022422274,41.2624618122281
"0","0",-8.68286283391163,41.2622147413875
"0","0",-8.68293404872051,41.2616505927976
"0","0",-8.68249580374277,41.2598263417369
"0","0",-8.6823752863739,41.2594063038016
"0","0",-8.68229311544057,41.2591612804252
"0","0",-8.68221916160058,41.258971849958
"0","0",-8.68216438097836,41.2588133044706
"0","0",-8.6821479467917,41.258667112836
"0","0",-8.68212055648059,41.2584591495244
"0","0",-8.68208768810726,41.2583232523492
"0","0",-8.68198360492505,41.2580267484399
"0","0",-8.68195347558283,41.2578743778519
"0","0",-8.68185213143173,41.2574749181363
"0","0",-8.68175489582729,41.2573493143188
"0","0",-8.68163300894286,41.2572535669842
"0","0",-8.68148099271621,41.2572072375784
"0","0",-8.68095235971182,41.257061042349
"0","0",-8.68076062753406,41.2569580877657
"0","0",-8.68062778452519,41.2568077737827
"0","0",-8.68057300390297,41.2566677549668
"0","0",-8.6787077237165,41.2495428719773
"0","0",-8.67863376987651,41.2492875149263
"0","0",-8.67855981603651,41.2490836404353
"0","0",-8.67844477672986,41.2488777059601
"0","0",-8.67837630095209,41.2487623823704
"0","0",-8.67773536767216,41.2480168928265
"0","0",-8.67747242068552,41.2476091352785
"0","0",-8.6774176400633,41.2474031961558
"0","0",-8.67655484526339,41.2441369148871
"0","0",-8.67642063273896,41.2436467526634
"0","0",-8.67632750568119,41.2435561340345
"0","0",-8.6747361286058,41.2426952507925
"0","0",-8.67388702896144,41.2422277328927
"0","0",-8.67375555546812,41.2422071373135
