shapeid,partid,x,y
"0","0",-8.68464452704557,41.2609602372789
"0","0",-8.68477304286326,41.2614375858713
"0","0",-8.68480613099993,41.2615033010545
"0","0",-8.68485472820802,41.2615726137931
"0","0",-8.68493620973848,41.2616498636625
"0","0",-8.68497320868843,41.2616801512762
"0","0",-8.68507905668923,41.2617731098088
"0","0",-8.68528798668691,41.2619520438653
"0","0",-8.68540754099421,41.2620529371586
"0","0",-8.68552057490995,41.2621484759782
"0","0",-8.68563506759205,41.2622438213062
"0","0",-8.68601696541505,41.2625910479511
"0","0",-8.68606125986261,41.2626692683021
"0","0",-8.68607918426192,41.2627200325379
"0","0",-8.6860744585074,41.2628120991884
"0","0",-8.68603080320356,41.2629313729388
"0","0",-8.68598538051832,41.2629797921847
"0","0",-8.68590683297739,41.2630448974969
"0","0",-8.68585822942211,41.2630677337312
"0","0",-8.68578992150661,41.2630947362524
"0","0",-8.68570843229346,41.2631168433939
"0","0",-8.68559947628627,41.263126055583
"0","0",-8.68552974709887,41.2631245567051
"0","0",-8.68544256912195,41.2631103896804
"0","0",-8.68538042714523,41.2630875338044
"0","0",-8.68529730839423,41.2630473895274
"0","0",-8.68524574425433,41.26301352123
"0","0",-8.68522135842644,41.2629865089711
"0","0",-8.68516868441555,41.2629222606247
"0","0",-8.68515435842341,41.2629012640893
"0","0",-8.6851285411997,41.2628425010512
"1","0",-8.67463045767103,41.2377598379306
"1","0",-8.67457182405853,41.2376367444714
"1","0",-8.67451503098327,41.2375600632126
"1","0",-8.6744551383181,41.2375075395518
"1","0",-8.67438234104569,41.2374569361587
"1","0",-8.67424723360202,41.2373802822943
"1","0",-8.67406300475433,41.2372839887817
"1","0",-8.67374696972953,41.2371120677757
"1","0",-8.67361340277847,41.2370307109388
"1","0",-8.67355446236373,41.236978688259
"1","0",-8.67350658527525,41.2369251985832
"1","0",-8.67344900293991,41.2368249788175
"1","0",-8.67341261097631,41.2367207983926
"1","0",-8.67331234449528,41.2362955574766
"1","0",-8.67327949630749,41.236168519106
"1","0",-8.67329239071455,41.2360502702061
"1","0",-8.6733365353664,41.2359454524342
"1","0",-8.6734175695168,41.2358294661867
"1","0",-8.67354913171835,41.2356797893996
"1","0",-8.67382954175856,41.2353343092885
"1","0",-8.67387614844665,41.2352625359622
"1","0",-8.6738979906948,41.2352097385153
"1","0",-8.67391635313075,41.2351343871998
"1","0",-8.67392273734286,41.2350404334304
"2","0",-8.67415982375208,41.2359614624817
"2","0",-8.67441990234347,41.2369492387293
"3","0",-8.67491595348419,41.2388516333226
"3","0",-8.67516566025891,41.2398237903018
"4","0",-8.67442634544491,41.2396207666428
"4","0",-8.67452916394439,41.2395368680896
"4","0",-8.6746053493317,41.2394849181304
"4","0",-8.6746505526209,41.2394628072564
"4","0",-8.67475623218877,41.2394227811503
"4","0",-8.67484695673069,41.2393991587065
"4","0",-8.67494587448349,41.2393832154818
"4","0",-8.67500971753925,41.2393716400892
"4","0",-8.67513472130941,41.2393530863621
"4","0",-8.67532178695383,41.2393265865265
"4","0",-8.67551556768524,41.23929665147
"4","0",-8.67564197962896,41.2392759847011
"4","0",-8.67554448922598,41.2393093405594
"4","0",-8.67544500234984,41.2393577353578
"4","0",-8.67531912216963,41.2394463177849
"4","0",-8.67528312467192,41.2394816288232
"4","0",-8.67521487299236,41.2395814442797
"4","0",-8.67517934776566,41.2396728910454
"4","0",-8.67516926645445,41.239724912302
"4","0",-8.67516566030722,41.2398237904984
"4","0",-8.67519747541168,41.2399582650635
"4","0",-8.67571626697536,41.2419361215423
"4","0",-8.67574318060684,41.2420400685589
"4","0",-8.6757968012768,41.2421472604066
"4","0",-8.67582293807901,41.2421889641055
"4","0",-8.67587807637058,41.2422677503884
"4","0",-8.6759846935804,41.2423772459788
"4","0",-8.67604057850173,41.2424207310095
"4","0",-8.67611384599164,41.2424760984023
"5","0",-8.68353397500534,41.2366924609683
"5","0",-8.68375509048021,41.2375440509171
"6","0",-8.68304352173699,41.2371355258382
"6","0",-8.6831854458742,41.237145031449
"6","0",-8.68327881566964,41.2371626246475
"6","0",-8.6833268368795,41.2371760511463
"6","0",-8.68336481879849,41.2371883581355
"6","0",-8.68343832198786,41.2372174456692
"6","0",-8.68353164297778,41.2372669040388
"6","0",-8.68358875440346,41.237309475789
"6","0",-8.68364520571957,41.2373641998596
"6","0",-8.6836815232725,41.2374057584603
"6","0",-8.68371715253157,41.2374572109517
"6","0",-8.68374291457324,41.2375050704239
"6","0",-8.68377301523275,41.2376013677524
"6","0",-8.68423395422284,41.239359038078
"7","0",-8.68030229875803,41.2372178638712
"7","0",-8.68137729284604,41.2371906316621
"7","0",-8.68127726964533,41.2372166503634
"7","0",-8.68119668118531,41.2372464387042
"7","0",-8.68111647168135,41.2372892470211
"7","0",-8.68105143864713,41.2373426105063
"7","0",-8.68099494361213,41.2374209822749
"7","0",-8.68095599135219,41.2375000440639
"7","0",-8.68094846017517,41.2375470396724
"7","0",-8.68094890572026,41.2376059142198
"8","0",-8.68015157108183,41.2372214544739
"8","0",-8.68030234088147,41.2372179467241
"8","0",-8.68052200774993,41.2372221843828
"8","0",-8.68063204652751,41.2372544629157
"8","0",-8.68070740196722,41.2372897515002
"8","0",-8.68077404758143,41.2373329472786
"8","0",-8.68082336762337,41.2373720851869
"8","0",-8.6808747639326,41.2374268355836
"8","0",-8.68090244740234,41.2374728142891
"8","0",-8.68092447207952,41.2375261963016
"8","0",-8.68093905047355,41.237567954686
"9","0",-8.68204752661722,41.2473217025505
"9","0",-8.68193273720813,41.2475792802803
"9","0",-8.68188407798987,41.2477141376536
"9","0",-8.68183684337299,41.2478580722957
"9","0",-8.68178709606361,41.2480108118663
"9","0",-8.68170983185873,41.2483570269754
"9","0",-8.68168215827293,41.2485288134186
"9","0",-8.68165593803928,41.2487713600206
"9","0",-8.68164761252995,41.2490361551294
"9","0",-8.68165684189968,41.2493142420724
"9","0",-8.6816853626781,41.249557471145
"9","0",-8.68171144432184,41.2497377481654
"9","0",-8.68173976486695,41.2498690145452
"9","0",-8.68182044374209,41.2501754845071
"9","0",-8.68192049632463,41.2505450411631
"10","0",-8.68013144877554,41.2526320797422
"10","0",-8.68019812470192,41.2527586381569
"10","0",-8.68027910319932,41.2528333243598
"10","0",-8.6804079540001,41.2528882511455
"10","0",-8.68048029524517,41.2529104294209
"10","0",-8.68056110228393,41.2529226609627
"10","0",-8.68065861323491,41.2529150292305
"10","0",-8.68075052746141,41.2529005503739
"10","0",-8.68081726545547,41.2528788196007
"10","0",-8.68090591805331,41.2528314165759
"10","0",-8.68096898963099,41.252793052311
"10","0",-8.68103218390367,41.2527249332119
"11","0",-8.6832333613286,41.2355432876237
"11","0",-8.68353397786972,41.2366924602592
"11","0",-8.68353052974184,41.2367987850195
"11","0",-8.683495307335,41.2368930032907
"11","0",-8.68343129449894,41.2369759748204
"11","0",-8.68335547665613,41.2370370785153
"11","0",-8.68328029759951,41.2370771751213
"11","0",-8.68320105666176,41.2371094413618
"11","0",-8.68311445323506,41.2371292935389
"11","0",-8.68301959828885,41.2371376864381
"11","0",-8.68152536256006,41.2371868488256
"11","0",-8.68137711375876,41.2371906050224
"11","0",-8.68123490048815,41.2371726386333
"11","0",-8.68105704532834,41.2371142059988
"11","0",-8.68097689725469,41.2370737828155
"11","0",-8.68091401876348,41.2370310697304
"11","0",-8.68084400201726,41.2369650331765
"11","0",-8.68078861904232,41.2369020775469
"11","0",-8.6807522511129,41.2368395296687
"11","0",-8.68073152625181,41.2367725014354
"12","0",-8.67868014678896,41.2381880073358
"12","0",-8.67854637769368,41.2376554940432
"12","0",-8.67856490542565,41.2375446605357
"12","0",-8.67860177286631,41.2374811899517
"12","0",-8.678680325632,41.2373937804702
"12","0",-8.67881573189839,41.2373138963872
"12","0",-8.67892130740234,41.2372693510498
"13","0",-8.67826836301772,41.2367656860053
"13","0",-8.67816809737726,41.2363549515838
"13","0",-8.67812499894024,41.2362576342357
"13","0",-8.67804645869807,41.2361631564561
"13","0",-8.67793189845175,41.236070107092
"13","0",-8.677788820886,41.23599571729
"13","0",-8.67764703522955,41.2359542604584
"13","0",-8.67751557198388,41.2359410056208
"13","0",-8.67739425041693,41.2359414703568
"13","0",-8.67727626999406,41.2359561844451
"14","0",-8.67727571033167,41.2359562586553
"14","0",-8.67755430927785,41.2358942096928
"14","0",-8.67762804568921,41.235873273589
"14","0",-8.6777404463688,41.2358189417234
"14","0",-8.67784381830361,41.2357598556493
"14","0",-8.67794719140955,41.2356944460386
"14","0",-8.67806623164986,41.2355945983156
"14","0",-8.67818210386581,41.2355360862824
"14","0",-8.67831182973771,41.235483920372
"14","0",-8.67852687853612,41.2354697256194
"15","0",-8.6780523239457,41.2389140863427
"15","0",-8.67820629423331,41.238903940977
"15","0",-8.67827073082263,41.2389004566076
"15","0",-8.67837742099074,41.2389125912191
"15","0",-8.67845490542464,41.2389285765062
"15","0",-8.67854475168917,41.2389559998227
"15","0",-8.67862834934643,41.2389907557224
"15","0",-8.67869456024746,41.2390280056503
"15","0",-8.67877911793748,41.2390843038092
"15","0",-8.67884012058907,41.2391436420209
"15","0",-8.67888665349423,41.2392009907952
"15","0",-8.67893348827687,41.2392914936286
"15","0",-8.6789680972713,41.2394030587218
"15","0",-8.67900010343725,41.2395292243935
"16","0",-8.67491742233331,41.2363066749791
"16","0",-8.67476261517727,41.2363495605824
"16","0",-8.67465189850939,41.2364019329149
"16","0",-8.6745447043032,41.2364798750634
"16","0",-8.67445378542648,41.2365913667867
"16","0",-8.6744270467034,41.2366306199619
"16","0",-8.67440101705643,41.2367010232994
"16","0",-8.67439160957021,41.2368113773359
"16","0",-8.67442406812533,41.2369694932267
"16","0",-8.67491538300112,41.2388496351471
"16","0",-8.67494482514935,41.2389414444925
"16","0",-8.67498653587095,41.2390152615677
"16","0",-8.67503163627562,41.2390697840935
"16","0",-8.67506670451497,41.2391033202943
"16","0",-8.67512058224891,41.2391488681892
"16","0",-8.6751826536982,41.2391878745062
"16","0",-8.6752223614825,41.2392081495067
"16","0",-8.67528285516564,41.2392340991158
"16","0",-8.67534003877748,41.239255776359
"16","0",-8.67542055903802,41.2392736154758
"16","0",-8.67553265600415,41.2392847881887
"16","0",-8.67564204778217,41.2392759868617
"16","0",-8.67572049476195,41.2392645936255
"16","0",-8.67585223674325,41.2392456380052
"16","0",-8.67812565885432,41.2389030393532
"16","0",-8.67820166172018,41.238884035353
"16","0",-8.67831943111898,41.2388406483411
"16","0",-8.67842478677446,41.2387865091729
"16","0",-8.67854553961217,41.2386827196607
"16","0",-8.67861455941055,41.2385833097858
"16","0",-8.67864743476259,41.2385224152274
"16","0",-8.67866776427269,41.2384530176136
"16","0",-8.67867423788531,41.2383385920156
"16","0",-8.67864850835025,41.2382105827328
"16","0",-8.67855587085672,41.2378506707464
"17","0",-8.68144479468662,41.2488819870328
"17","0",-8.68147788180312,41.248983030053
"17","0",-8.68151207168643,41.2491074600196
"17","0",-8.68158603585965,41.2493814654317
"17","0",-8.68161212111927,41.2494940258409
"17","0",-8.681650836535,41.2496724516752
"17","0",-8.68168440668575,41.249864972953
"17","0",-8.68170444468179,41.2500411672401
"17","0",-8.68171795144764,41.2502909434934
"17","0",-8.68167056144942,41.2509603787207
"17","0",-8.68164848366471,41.2510957940686
"17","0",-8.68159324429426,41.2513393836356
"17","0",-8.68155841892389,41.2514644865568
"17","0",-8.68150405303139,41.2516197125564
"17","0",-8.68142271209697,41.2518387569031
"17","0",-8.68124689480459,41.2522395213076
"17","0",-8.68108526162567,41.2526073406702
